d	t1	t2	t	R	S
0	5.697668339	5.698018178	5.697843259	44651.28092	0.7751958494
1	5.705347965	5.700931224	5.703139595	44609.81461	0.7744759481
5	5.705995108	5.705981779	5.705988444	44587.54211	0.7740892727
10	5.704512554	5.702506102	5.703509328	44606.92275	0.7744257422
50	5.715622607	5.715963529	5.715793068	44511.05857	0.7727614334
100	5.733389309	5.732032573	5.732710941	44379.70144	0.7704809278
500	5.877428933	5.875009899	5.876219416	43295.86457	0.7516643154
1000	6.051969946	6.04891913	6.050444538	42049.14175	0.730019822
5000	7.448307365	7.451269406	7.449788386	34150.7687	0.5928952899
10000	9.201365732	9.200910833	9.201138283	27650.49195	0.480043263